,index,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class
0,0,5.1,3.5,1.4,0.2,Iris-setosa
1,1,4.9,3.0,1.4,0.2,Iris-setosa
2,2,4.7,3.2,1.3,0.2,Iris-setosa
3,3,4.6,3.1,1.5,0.2,Iris-setosa
4,4,5.0,3.6,1.4,0.2,Iris-setosa
5,5,5.4,3.9,1.7,0.4,Iris-setosa
6,6,4.6,3.4,1.4,0.3,Iris-setosa
7,7,5.0,3.4,1.5,0.3,Iris-setosa
8,8,4.4,2.9,1.4,0.2,Iris-setosa
9,9,4.9,3.1,1.5,0.2,Iris-setosa
10,10,5.4,3.7,1.5,0.2,Iris-setosa
11,11,4.8,3.4,1.6,0.1,Iris-setosa
12,12,4.8,3.0,1.4,0.1,Iris-setosa
13,13,5.7,3.0,1.1,0.1,Iris-setosa
14,14,5.8,4.0,1.2,0.2,Iris-setosa
15,16,5.4,3.9,1.3,0.4,Iris-setosa
16,17,5.1,3.5,1.4,0.3,Iris-setosa
17,18,5.7,3.8,1.7,0.3,Iris-setosa
18,19,5.1,3.8,1.5,0.3,Iris-setosa
19,20,5.4,3.4,1.7,0.2,Iris-setosa
20,21,5.1,3.7,1.5,0.4,Iris-setosa
21,22,4.6,3.6,1.0,0.2,Iris-setosa
22,23,5.1,3.3,1.7,0.5,Iris-setosa
23,24,4.8,3.4,1.9,0.2,Iris-setosa
24,25,5.0,3.0,1.6,0.2,Iris-setosa
25,26,5.0,3.4,1.6,0.4,Iris-setosa
26,27,5.2,3.5,1.5,0.2,Iris-setosa
27,28,5.2,3.4,1.4,0.2,Iris-setosa
28,29,4.7,3.2,1.6,0.2,Iris-setosa
29,30,4.8,3.1,1.6,0.2,Iris-setosa
30,31,5.4,3.4,1.5,0.4,Iris-setosa
31,34,4.9,3.1,1.5,0.1,Iris-setosa
32,35,5.0,3.2,1.2,0.2,Iris-setosa
33,36,5.5,3.5,1.3,0.2,Iris-setosa
34,37,4.9,3.1,1.5,0.1,Iris-setosa
35,38,4.4,3.0,1.3,0.2,Iris-setosa
36,39,5.1,3.4,1.5,0.2,Iris-setosa
37,40,5.0,3.5,1.3,0.3,Iris-setosa
38,41,4.5,2.3,1.3,0.3,Iris-setosa
39,42,4.4,3.2,1.3,0.2,Iris-setosa
40,43,5.0,3.5,1.6,0.6,Iris-setosa
41,44,5.1,3.8,1.9,0.4,Iris-setosa
42,45,4.8,3.0,1.4,0.3,Iris-setosa
43,46,5.1,3.8,1.6,0.2,Iris-setosa
44,47,4.6,3.2,1.4,0.2,Iris-setosa
45,48,5.3,3.7,1.5,0.2,Iris-setosa
46,49,5.0,3.3,1.4,0.2,Iris-setosa
47,50,7.0,3.2,4.7,1.4,Iris-versicolor
48,51,6.4,3.2,4.5,1.5,Iris-versicolor
49,52,6.9,3.1,4.9,1.5,Iris-versicolor
50,53,5.5,2.3,4.0,1.3,Iris-versicolor
51,54,6.5,2.8,4.6,1.5,Iris-versicolor
52,55,5.7,2.8,4.5,1.3,Iris-versicolor
53,56,6.3,3.3,4.7,1.6,Iris-versicolor
54,57,4.9,2.4,3.3,1.0,Iris-versicolor
